sample,cell,round,well,sex,age,exp,total cells,viability,ldh,18s,il1,il6,il8,hmox1
HBEC2 3-1,HBEC2 ,3,1,F,52,FA,,,0.952633333,,,,,
HBEC2 3-2,HBEC2,3,2,F,52,FA,,,0.837733333,,,,,
HBEC2 3-3,HBEC2,3,3,F,52,FA,,,0.704133333,9.573853667,19.851,22.15,18.72768667,23.66756
HBEC2 3-4,HBEC2,3,4,F,52,FA,177800,0.65,0.739633333,,,,,
HBEC2 3-5,HBEC2,3,5,F,52,FA,460000,0.77,0.857133333,10.37395367,19.636121,21.93899933,18.50630967,23.392491
HBEC2 3-6,HBEC2,3,6,F,52,FA,230000,0.77,0.786383333,10.11078417,19.575,22.136609,18.301339,23.30338567
HBEC2 3-7,HBEC2,3,7,F,52,O3,,,2.233533333,,,,,
HBEC2 3-8,HBEC2,3,8,F,52,O3,,,2.090183333,,,,,
HBEC2 3-9,HBEC2,3,9,F,52,O3,,,1.478833333,,,,,
HBEC2 3-10,HBEC2,3,10,F,52,O3,230000,0.59,2.371483333,,,,,
HBEC2 3-11,HBEC2,3,11,F,52,O3,230000,0.82,2.268533333,,,,,
HBEC2 3-12,HBEC2,3,12,F,52,O3,220000,0.71,1.916683333,,,,,
HBEC2 4-1,HBEC2,4,1,F,52,FA,,,0.614233333,9.586202417,20.425,23.856,19.86441433,25.27100933
HBEC2 4-2,HBEC2,4,2,F,52,FA,,,0.884483333,9.869315333,20.449976,23.96036167,20.002716,25.238865
HBEC2 4-3,HBEC2,4,3,F,52,FA,,,0.679433333,10.06084183,19.874279,23.548963,19.30626167,25.00628633
HBEC2 4-4,HBEC2,4,4,F,52,FA,282600,0.89,0.911733333,10.38972717,20.293052,23.77664633,19.25855333,24.84855233
HBEC2 4-5,HBEC2,4,5,F,52,FA,266700,1,0.727333333,10.53265175,20.15297167,23.917904,19.388486,24.978041
HBEC2 4-6,HBEC2,4,6,F,52,FA,408000,0.73,1.119833333,10.45920183,20.723324,23.35976033,19.11507467,25.09468367
HBEC2 4-7,HBEC2,4,7,F,52,O3,,,2.410833333,10.3238625,20.35207267,24.07960067,19.497409,25.83842833
HBEC2 4-8,HBEC2,4,8,F,52,O3,,,2.346383333,10.13175392,20.036,23.944,18.92256067,25.75680267
HBEC2 4-9,HBEC2,4,9,F,52,O3,,,1.959933333,9.834028917,20.293,24.25638833,18.89014033,26.47235633
HBEC2 4-10,HBEC2,4,10,F,52,O3,125700,0.5,2.395283333,,,,,
HBEC2 4-11,HBEC2,4,11,F,52,O3,188400,0.75,2.013983333,,,,,
HBEC2 4-12,HBEC2,4,12,F,52,O3,156900,0.5,2.241333333,,,,,
HBEC3 1-1,HBEC3,1,1,M,79,FA,,,1.65125,11.3248285,21.261,25.30367033,18.17209367,24.91283333
HBEC3 1-2,HBEC3,1,2,M,79,FA,,,1.6058,11.40699442,20.874,25.45809667,18.28704067,24.531452
HBEC3 1-3,HBEC3,1,3,M,79,FA,,,1.47985,12.1391205,21.419,25.84838667,18.962117,24.78952133
HBEC3 1-4,HBEC3,1,4,M,79,FA,942000,0.77,1.69995,,,,,
HBEC3 1-5,HBEC3,1,5,M,79,FA,298200,0.68,1.84505,,,,,
HBEC3 1-6,HBEC3,1,6,M,79,FA,251100,0.56,1.82615,,,,,
HBEC3 1-7,HBEC3,1,7,M,79,O3,,,1.181,12.91269117,21.73,25.976815,18.60294133,25.950657
HBEC3 1-8,HBEC3,1,8,M,79,O3,,,1.3144,,,,,
HBEC3 1-9,HBEC3,1,9,M,79,O3,,,1.4854,12.24914383,21.223,25.53055267,18.362766,25.555226
HBEC3 1-10,HBEC3,1,10,M,79,O3,315000,0.7,1.15795,,,,,
HBEC3 1-11,HBEC3,1,11,M,79,O3,141300,0.78,1.31735,,,,,
HBEC3 1-12,HBEC3,1,12,M,79,O3,204000,0.69,1.62545,,,,,
HBEC3 3-1,HBEC3,3,1,M,79,FA,,,0.97795,11.90014908,20.881,26.096,19.615576,24.075136
HBEC3 3-2,HBEC3,3,2,M,79,FA,,,1.0174,,,,,
HBEC3 3-3,HBEC3,3,3,M,79,FA,,,1.66005,,,,,
HBEC3 3-4,HBEC3,3,4,M,79,FA,167000,0.59,1.0484,,,,,
HBEC3 3-5,HBEC3,3,5,M,79,FA,277000,0.72,1.02265,11.39396967,20.741,26.785,19.953004,24.28056533
HBEC3 3-6,HBEC3,3,6,M,79,FA,283000,0.63,1.11175,,,,,
HBEC3 3-7,HBEC3,3,7,M,79,O3,,,1.60625,,,,,
HBEC3 3-8,HBEC3,3,8,M,79,O3,,,1.88905,,,,,
HBEC3 3-9,HBEC3,3,9,M,79,O3,,,1.98645,,,,,
HBEC3 3-10,HBEC3,3,10,M,79,O3,141000,0.52,1.6199,,,,,
HBEC3 3-11,HBEC3,3,11,M,79,O3,167000,0.5,1.854,,,,,
HBEC3 3-12,HBEC3,3,12,M,79,O3,157000,0.63,2.11105,,,,,
HBEC3 4-1,HBEC3,4,1,M,79,FA,,,2.52945,11.44847083,21.198233,25.21722667,19.02934433,24.14185733
HBEC3 4-2,HBEC3,4,2,M,79,FA,,,1.4442,10.61381333,20.55053833,25.10980533,19.02745467,23.94903
HBEC3 4-3,HBEC3,4,3,M,79,FA,,,1.3887,11.49988642,21.02908067,25.798313,19.43757067,24.16275733
HBEC3 4-4,HBEC3,4,4,M,79,FA,199000,0.61,1.5971,12.27364817,21.453,27.062,20.49382,24.12952867
HBEC3 4-5,HBEC3,4,5,M,79,FA,204000,0.67,2.25475,12.12265017,21.494,26.666,20.07972433,24.38514133
HBEC3 4-6,HBEC3,4,6,M,79,FA,188000,0.61,1.7937,11.67978967,20.69,25.739,19.27414667,24.13038067
HBEC3 4-7,HBEC3,4,7,M,79,O3,,,1.85145,12.24880775,21.64813533,26.646822,19.61045,25.75909033
HBEC3 4-8,HBEC3,4,8,M,79,O3,,,2.2735,12.34927892,22.23487833,26.73068433,19.83240833,25.642281
HBEC3 4-9,HBEC3,4,9,M,79,O3,,,2.3597,12.07972933,21.94282467,26.54131267,19.65807733,25.66657
HBEC3 4-10,HBEC3,4,10,M,79,O3,141000,0.67,1.60345,12.46813633,21.154,26.406,18.97249533,24.405297
HBEC3 4-11,HBEC3,4,11,M,79,O3,131000,0.56,1.873,12.399329,21.42701867,26.682916,19.36875233,24.93396633
HBEC3 4-12,HBEC3,4,12,M,79,O3,105000,0.65,2.37645,12.29656592,21.766,26.501,19.29120667,24.98210133
